type,A,B,C,D,E,F
start,-0.44726409326398614,-0.10920304300891516,-0.7725080064955248,1.5862166657485262e-05,0.8816358580279106,-0.4473202518058149
start,-0.6468346418853516,-0.5480369485111014,-0.39013826457181233,-8.949535600077146e-06,0.9380517612962826,-0.6468873159787034
start,0.26626362736191983,-0.7978489851957262,-0.24303334155417142,7.889550221753042e-05,1.040776460336092,0.2661681273419294
start,0.15004128560336527,-0.049294587553541755,-0.8382557331771721,5.822289621700549e-05,0.8874625761854256,0.15013026609217542
start,0.15007014106551325,0.24428067624387742,-0.7481734038352068,3.89387043952471e-05,0.5038407802088876,0.15006616624145142
start,-0.35902055948219225,0.30457981261415734,-0.8412599501247635,4.46049331176404e-05,0.5366182187870145,-0.35900622345774497
start,-0.5946273151028051,-0.15478072553546016,-0.228120347899816,5.689752628965962e-05,0.38300651331419966,-0.5947068796865178
start,0.20505151735741972,-0.3185485675536652,-0.07626499297446092,-2.445549957839113e-05,0.39482759958676134,0.20518877036016508
goal,0.5736663831037732,0.05820340573852295,-2.9988190315813714,0.9748137998637707,1.3830648143263198,-0.16413929534360822
goal,1.3680040308282193,-0.014744741506628519,-2.320779851361616,0.32198541865136715,0.49372009277192186,-0.23778867426660555
goal,-1.2498537471727624,-0.7937794417608847,-2.390279343478759,2.770786377582793,1.2418487909401636,0.018252092627148546
goal,2.331630317889693,-0.0404151100063459,-2.715258457046903,-0.8536627309368865,1.2725012020865771,0.29001039154427305
goal,2.1090913062460066,-0.6819653564249868,-1.5427539038777227,-0.8535181866978939,0.8176141739473186,0.6438242564726806
goal,1.104737978980953,-0.7150923780553531,-1.5053870716180182,0.6638624991345455,0.7263488706635385,-0.5110521584941393
goal,1.3262429647576561,-0.35197987887521937,-1.7234147625487577,0.422754649552123,0.5062595242264345,-0.36553642112271956
goal,1.803551565446395,-0.32982461518034994,-1.7559518813913402,-0.5531266460531635,0.5466269628069375,0.4775986510174283
