count,planning_time
0,0.111951
1,0.014075
2,0.013011
3,0.114317
4,0.100613
5,0.102298
6,0.105379
7,0.10103
8,0.104215
9,0.104517
10,0.108467
11,0.104702
12,0.11987
13,0.110072
14,0.105749
15,0.106805
16,0.104199
17,0.111228
18,0.106005
19,0.11023
20,0.110475
21,0.110509
22,0.10526
23,0.016979
24,0.114481
25,0.111566
26,0.1075
27,0.106688
28,0.122293
29,0.129726
30,0.116025
31,0.10542
32,0.109293
33,0.107402
34,0.113957
35,0.016183
36,0.01505
37,0.107883
38,0.016471
39,0.105564
40,0.104467
41,0.106361
42,0.10665
43,0.103494
44,0.106039
45,0.116918
46,0.105021
47,0.109498
48,0.104659
49,0.015028
50,0.105606
51,0.016477
52,0.10631
53,0.01576
54,0.107343
55,0.016874
56,0.017057
57,0.107065
58,0.110852
59,0.032723
60,0.110697
61,0.111857
62,0.111406
63,0.110029
64,0.11765
65,0.111858
66,0.105396
67,0.015452
68,0.104632
69,0.116743
70,0.017457
71,0.106145
72,0.114745
73,0.117557
74,0.020042
75,0.109893
76,0.106501
77,0.024232
78,0.106406
79,0.105407
80,0.102314
81,0.116086
82,0.10833
83,0.016266
84,0.105461
85,0.10658
86,0.119152
87,0.1249
88,0.018122
89,0.017766
90,0.109296
91,0.105096
92,0.10815
93,0.103569
94,0.104211
95,0.109534
96,0.021445
97,0.107095
98,0.10448
99,0.110155
100,0.119839
101,0.120291
102,0.021186
103,0.103034
104,0.107033
105,0.106093
106,0.105185
107,0.107289
108,0.10602
109,0.018897
110,0.015241
111,0.115928
112,0.112589
113,0.1044
114,0.105461
115,0.106122
116,0.11488
117,0.106732
118,0.116396
119,0.120879
120,0.12329
121,0.017315
122,0.113436
123,0.107904
124,0.10739
125,0.104656
126,0.015542
127,0.016825
128,0.020965
129,0.119916
130,0.120986
131,0.109048
132,0.121643
133,0.016831
134,0.10505
135,0.106121
136,0.0205
137,0.107117
138,0.109433
139,0.106566
140,0.105623
141,0.020072
142,0.015694
143,0.108403
144,0.113087
145,0.017612
146,0.107548
147,0.10471
148,0.105165
149,0.106661
150,0.106362
151,0.106279
152,0.114786
153,0.108694
154,0.11603
155,0.11677
156,0.11898
157,0.104874
158,0.106185
159,0.109865
160,0.107969
161,0.116244
162,0.106378
163,0.105443
164,0.106436
165,0.015198
166,0.110345
167,0.111539
168,0.021315
169,0.11162
170,0.110877
171,0.11012
172,0.110406
173,0.111763
174,0.110889
175,0.021579
176,0.105041
177,0.015933
178,0.103405
179,0.11467
180,0.116138
181,0.111443
182,0.021191
183,0.111323
184,0.111903
185,0.111408
186,0.021234
187,0.112295
188,0.111173
189,0.110454
190,0.110915
