type,A,B,C,D,E,F
start,0.446736185667769,-0.8303768870189059,-0.19966977642700576,0.000644209007943644,1.031491058506688,0.4468273788259179
start,-0.45692107379056696,-0.8243347804345732,-0.20257993986676137,-0.0008133620671135703,1.0283090977105724,-0.45614023560600986
start,-0.2658429916135594,-0.1399699608363802,-0.7099227445917747,-0.0005763882525579187,0.8513458438709504,-0.26514396545471225
start,0.25379561690267427,-0.14392329971537826,-0.7057997929979934,0.0004004612228994712,0.8511026852946014,0.2538793099072082
start,0.25414982136154207,0.17277783132903665,-0.6228396991016752,0.0008629762958622974,0.45142824951284877,0.2537922122866441
start,-0.2475319557414899,0.17096663225373612,-0.6200169908703207,-0.000899562206246461,0.45056892302234447,-0.24637368815004962
start,-0.41880200114600347,-0.30518938806588375,-0.06732848963800572,-0.0015514737370151078,0.37385134278753673,-0.41689162727399354
start,0.437333859097476,-0.29627986816842267,-0.0746915395780633,0.0017177637637269413,0.37220893669441873,0.43615549942072346
goal,-1.1924754489181104,-0.7784029903838525,-0.35867399193393795,-0.0015131838016628086,1.1374368306625675,0.35435750491219953
goal,-2.0108427771034756,-0.7180902027127505,-0.3924309121501187,-0.0014414903543730068,1.1098266323071833,-0.46412666187644736
goal,-1.8519488036614002,-0.19443888272296972,-0.7967717358754335,-0.0017267389863049808,0.9907453741395704,-0.3050158119023226
goal,-1.3080419186443737,-0.22011490874499545,-0.7706681667573059,-0.001761003162035329,0.9911484955407133,0.23898590267684738
goal,-1.3090849242130218,0.15979537691805643,-0.617580917848256,-0.0033721919316267407,0.45830802956606015,0.23991361325402047
goal,-1.8391317091108044,0.1739460607086622,-0.6394018158916446,-0.0032423047458074463,0.46504021501760734,-0.2899439441255369
goal,-2.009681648526976,-0.24105070468554143,-0.13869843730242118,-0.003571258540528252,0.3790173902268965,-0.46007155293341434
goal,-1.1590851893861092,-0.2729246527012283,-0.1090631356266123,-0.0038132811469293315,0.38246519188944855,0.39067986614253175
